long_strike,short_strike,current_price,long_ask,short_black_scholes_price,long_black_scholes_price,short_z_score,long_z_score,short_ask,long_bid,short_bid,net_premium,max_profit,max_loss,breakeven,reward_risk_ratio,probability_of_profit,spread_width,bid_ask_spread,long_open_interest,short_open_interest,iv_skew,long_implied_volatility,short_implied_volatility,long_delta,short_delta,long_gamma,short_gamma,long_theta,short_theta,net_theta,long_vega,short_vega,long_rho,short_rho,expiration
106.0,112.0,145.47999572753906,0.05,0.060230524828338794,0.03475242747642249,0.162,-0.425,0.07,0.02,0.06,0.01,0.01,5.99,111.99,0.0,1.0,6.0,0.05,389,746,-0.07988100000000009,0.8232,0.743319,-0.0007468341278761,-0.0042998494432513,0.00016311656020597963,0.0008177831221997845,-0.0027706494314928692,-0.018461726644351587,0.02,0.0005173408552767339,0.0029727224334925783,0.02614686444432647,0.02750644110065398,2025-06-27
106.0,113.0,145.47999572753906,0.05,0.05983277846262558,0.03475242733265815,0.17,-0.425,0.07,0.02,0.06,0.01,0.01,6.99,112.99,0.0,0.99,7.0,0.05,389,916,-0.10282900000000006,0.8232,0.720371,-0.0007468341278761,-0.0054795579259997,0.00016311656020597963,0.0010205239638941587,-0.0027706494314928692,-0.02402473733753772,0.02,0.0005173408552767339,0.0029888777604844038,0.02614686444432647,0.027712594288690977,2025-06-27
106.0,114.0,145.47999572753906,0.05,0.06805762033419716,0.034752427190054,0.175,-0.425,0.08,0.02,0.07,0.02,0.02,7.98,113.98,0.0,0.99,8.0,0.06,389,523,-0.11270500000000006,0.8232,0.710495,-0.0007468341278761,-0.0066061476868032,0.00016311656020597963,0.001218212976949852,-0.0027706494314928692,-0.029215926278185096,0.03,0.0005173408552767339,0.003879134495882464,0.02614686444432647,0.027920670366764534,2025-06-27
106.0,115.0,145.47999572753906,0.05,0.06788164330258195,0.034752427042418876,0.179,-0.425,0.08,0.02,0.07,0.02,0.02,8.98,114.98,0.0,0.99,9.0,0.06,389,2992,-0.13528800000000007,0.8232,0.687912,-0.0007468341278761,-0.0083867866820101,0.00016311656020597963,0.0015095419634911838,-0.0027706494314928692,-0.03266787938788156,0.03,0.0005173408552767339,0.004949075287091137,0.02614686444432647,0.028105764433844077,2025-06-27
106.0,116.0,145.47999572753906,0.05,0.0767630371119683,0.03475242689749258,0.042,-0.425,0.08,0.02,0.07,0.02,0.02,9.98,115.98,0.0,0.99,10.0,0.06,389,979,-0.14589300000000005,0.8232,0.677307,-0.0007468341278761,-0.010058170796879,0.00016311656020597963,0.0017737818763172235,-0.0027706494314928692,-0.035305164790608086,0.03,0.0005173408552767339,0.006297945005164406,0.02614686444432647,0.028299202213590474,2025-06-27
107.0,114.0,145.47999572753906,0.06,0.06805761827973211,0.034658625871773485,0.175,0.154,0.08,0.04,0.07,0.01,0.01,6.99,113.99,0.0,0.99,7.0,0.04,1058,523,-0.09046399999999999,0.800959,0.710495,-0.0010310692246536,-0.0066061476868032,0.00022009475067377674,0.001218212976949852,-0.003921187862558796,-0.029215926278185096,0.03,0.0007128852856347406,0.003879134495882464,0.026384111779529405,0.027920670366764534,2025-06-27
107.0,115.0,145.47999572753906,0.06,0.06788164127576746,0.0346586257312812,0.179,0.154,0.08,0.04,0.07,0.01,0.01,7.99,114.99,0.0,0.99,8.0,0.04,1058,2992,-0.11304700000000001,0.800959,0.687912,-0.0010310692246536,-0.0083867866820101,0.00022009475067377674,0.0015095419634911838,-0.003921187862558796,-0.03266787938788156,0.03,0.0007128852856347406,0.004949075287091137,0.026384111779529405,0.028105764433844077,2025-06-27
107.0,116.0,145.47999572753906,0.06,0.07676303489250613,0.03465862558867694,0.042,0.154,0.08,0.04,0.07,0.01,0.01,8.99,115.99,0.0,0.99,9.0,0.04,1058,979,-0.12365199999999998,0.800959,0.677307,-0.0010310692246536,-0.010058170796879,0.00022009475067377674,0.0017737818763172235,-0.003921187862558796,-0.035305164790608086,0.03,0.0007128852856347406,0.006297945005164406,0.026384111779529405,0.028299202213590474,2025-06-27
107.0,117.0,145.47999572753906,0.06,0.08222201720585076,0.03465862543684617,0.095,0.154,0.09,0.04,0.08,0.02,0.02,9.98,116.98,0.0,0.99,10.0,0.049999999999999996,1058,1330,-0.13951999999999998,0.800959,0.661439,-0.0010310692246536,-0.0123736077848459,0.00022009475067377674,0.0021581271455965215,-0.003921187862558796,-0.039462185522648664,0.04,0.0007128852856347406,0.007509927757768277,0.026384111779529405,0.028461117249346638,2025-06-27
108.0,112.0,145.47999572753906,0.05,0.06023052102829052,0.042944925935897604,0.162,-0.069,0.07,0.04,0.06,0.01,0.01,3.99,111.99,0.0,1.0,4.0,0.030000000000000006,1211,746,-0.056042000000000036,0.799361,0.743319,-0.0014248338830236,-0.0042998494432513,0.0002965910298711199,0.0008177831221997845,-0.005567155882175563,-0.018461726644351587,0.01,0.0009607458175046649,0.0029727224334925783,0.026617590403386883,0.02750644110065398,2025-06-27
