long_strike,short_strike,current_price,long_ask,short_black_scholes_price,long_black_scholes_price,short_z_score,long_z_score,short_ask,long_bid,short_bid,net_premium,max_profit,max_loss,breakeven,reward_risk_ratio,probability_of_profit,spread_width,bid_ask_spread,long_open_interest,short_open_interest,iv_skew,long_implied_volatility,short_implied_volatility,long_delta,short_delta,long_gamma,short_gamma,long_theta,short_theta,net_theta,long_vega,short_vega,long_rho,short_rho,expiration,Price Proximity,Proximity Penalty,score
90.0,100.0,145.47999572753906,0.02,0.03512347955717543,0.008941191736343224,0.139,0.118,0.04,0.01,0.03,0.01,-0.20512820512820515,9.99,99.99,-0.125,0.5294117647058824,1.0,-0.20512820512820518,4364,6590,-0.2412201557186707,1.050356,0.959999,-5.323638348e-07,-7.86851944451e-05,1.622651370760558e-07,1.9673951501676918e-05,-1.3468238979943393e-06,-0.0002511803929681587,-1.0000000000000002,2.0577898057058168e-05,7.617621517066656e-05,0.02222148590543356,0.024687956245443024,2025-06-27,0.31262027126200825,0.999915487249193,0.641025641025641
95.0,105.0,145.47999572753906,0.03,0.04327399717205804,0.01768965977932152,0.155,-0.435,0.05,0.01,0.04,0.01,-0.20512820512820515,9.99,104.99,-0.125,0.5294117647058824,1.0,-0.170940170940171,8632,1582,-0.8911407147530126,1.003086,0.867528,-7.9666557934e-06,-0.0005267306777447,2.2091689041349313e-06,0.00011788016610787203,-2.256464534466192e-05,-0.0019028971297520606,-1.0000000000000002,2.6779573891753166e-05,0.00037889311768547144,0.02345577119645895,0.025907416697879028,2025-06-27,0.27825128482510864,0.9997630208853977,0.3205128205128205
100.0,110.0,145.47999572753906,0.04,0.05160424424024579,0.026113920470964613,0.163,0.149,0.06,0.03,0.05,0.01,-0.20512820512820515,9.99,109.99,-0.125,0.5294117647058824,1.0,-0.20512820512820518,6590,2577,-1.1867761346398549,0.928932,0.772813,-7.86851944451e-05,-0.0025897049320714,1.9673951501676918e-05,0.0005130730529423887,-0.0002511803929681587,-0.010663110091639196,-0.5000000000000001,7.617621517066656e-05,0.0017233346610167786,0.024687956245443024,0.02707148788561141,2025-06-27,0.24388229838820907,0.9993354955291195,0.9615384615384616
101.0,110.0,145.47999572753906,0.04,0.0516042425985721,0.026075014928667928,0.163,-0.233,0.06,0.02,0.05,0.01,-0.20512820512820515,8.99,109.99,-0.125,0.5294117647058824,0.75,-0.17094017094017103,1749,2577,-0.8617511520737322,0.906327,0.772813,-0.0001183438987183,-0.0025897049320714,2.895357568082293e-05,0.0005130730529423887,-0.00038734800262674976,-0.010663110091639196,-0.5000000000000001,0.00014086875855057066,0.0017233346610167786,0.024933538834031998,0.02707148788561141,2025-06-27,0.24388229838820907,0.9993354955291195,1.6025641025641024
101.0,111.0,145.47999572753906,0.04,0.0606503496659343,0.02607501481466079,-0.011,-0.233,0.06,0.02,0.05,0.01,-0.20512820512820515,9.99,110.99,-0.125,0.5294117647058824,1.0,-0.17094017094017103,1749,968,-0.9528530449973754,0.906327,0.766477,-0.0001183438987183,-0.0033091900259259,2.895357568082293e-05,0.0006441493118353735,-0.00038734800262674976,-0.013872177214646876,-0.5000000000000001,0.00014086875855057066,0.0022853256061690095,0.024933538834031998,0.027293688964471947,2025-06-27,0.23700850110082916,0.9991833133165319,1.282051282051282
102.0,110.0,145.47999572753906,0.04,0.05160424096136218,0.026045151712075332,0.163,0.152,0.06,0.03,0.05,0.01,-0.20512820512820515,7.99,109.99,-0.125,0.5294117647058824,0.5,-0.20512820512820518,1016,2577,-0.5400188357764727,0.883951,0.772813,-0.000175919949636,-0.0025897049320714,4.211182289504144e-05,0.0005130730529423887,-0.0005898493150561152,-0.010663110091639196,-0.5000000000000001,0.00014161572096819966,0.0017233346610167786,0.025178518057411274,0.02707148788561141,2025-06-27,0.24388229838820907,0.9993354955291195,2.564102564102564
102.0,111.0,145.47999572753906,0.04,0.060650347812452265,0.026045151600309846,-0.011,0.152,0.06,0.03,0.05,0.01,-0.20512820512820515,8.99,110.99,-0.125,0.5294117647058824,0.75,-0.20512820512820518,1016,968,-0.631120728700116,0.883951,0.766477,-0.000175919949636,-0.0033091900259259,4.211182289504144e-05,0.0006441493118353735,-0.0005898493150561152,-0.013872177214646876,-0.5000000000000001,0.00014161572096819966,0.0022853256061690095,0.025178518057411274,0.027293688964471947,2025-06-27,0.23700850110082916,0.9991833133165319,1.9230769230769231
102.0,112.0,145.47999572753906,0.04,0.06023053235748477,0.026045151487770424,0.162,0.152,0.07,0.03,0.06,0.02,-0.17094017094017097,9.98,111.98,-0.125,0.5294117647058824,1.0,-0.17094017094017097,1016,746,-0.9640969970596063,0.883951,0.743319,-0.000175919949636,-0.0042998494432513,4.211182289504144e-05,0.0008177831221997845,-0.0005898493150561152,-0.018461726644351587,0.0,0.00014161572096819966,0.0029727224334925783,0.025178518057411274,0.02750644110065398,2025-06-27,0.23013470381344925,0.9989962789293646,2.8846153846153846
103.0,110.0,145.47999572753906,0.04,0.05160423931417424,0.02602491132366147,0.163,-0.232,0.06,0.02,0.05,0.01,-0.20512820512820515,6.99,109.99,-0.125,0.5294117647058824,0.25,-0.17094017094017103,823,2577,-0.22150729347146175,0.861799,0.772813,-0.0002559685985016,-0.0025897049320714,5.995411314366836e-05,0.0005130730529423887,-0.0008796733623450601,-0.010663110091639196,-0.5000000000000001,0.00024810497296083296,0.0017233346610167786,0.025422737170526687,0.02707148788561141,2025-06-27,0.24388229838820907,0.9993354955291195,3.5256410256410255
103.0,111.0,145.47999572753906,0.04,0.06065034594021146,0.02602491121024464,-0.011,-0.232,0.06,0.02,0.05,0.01,-0.20512820512820515,7.99,110.99,-0.125,0.5294117647058824,0.5,-0.17094017094017103,823,968,-0.3126091863951051,0.861799,0.766477,-0.0002559685985016,-0.0033091900259259,5.995411314366836e-05,0.0006441493118353735,-0.0008796733623450601,-0.013872177214646876,-0.5000000000000001,0.00024810497296083296,0.0022853256061690095,0.025422737170526687,0.027293688964471947,2025-06-27,0.23700850110082916,0.9991833133165319,3.205128205128205
